,area,perimeter,major_axis,minor_axis,angle,circularity,aspect_ratio,roundness,solidity
1,2802.0,208.1665209531784,73.39263916015625,49.40665817260742,2.24558424949646,0.8125614734911736,1.485480740343766,0.6623281896233784,0.9725789656369316
2,1477.0,157.5979791879654,86.107666015625,45.91893005371094,2.599072217941284,0.747289827587129,1.8752106356769567,0.25363371250454386,0.9675728791352768
3,2407.0,194.02438461780548,68.9721908569336,44.79900360107422,179.5659942626953,0.803476769877652,1.539592073768349,0.6442258783814073,0.9727217619721156
7,2707.5,201.0954533815384,71.21034240722656,48.80712127685547,3.3377206325531006,0.841344434190741,1.459015417100512,0.6798176499247665,0.9829370121619169
8,2686.0,200.50966668128967,70.88446807861328,48.79398727416992,4.059206962585449,0.8395474411493324,1.452729568508483,0.6806344978992114,0.9801131180441526
9,2134.0,183.53910386562347,68.92515563964844,39.805423736572266,179.98561096191406,0.7960623150817169,1.7315518632784122,0.5719380927683619,0.9809239255343599
10,2097.5,182.1248903274536,68.3873291015625,39.695709228515625,179.68637084960938,0.7946451315799501,1.7227889469836226,0.5710324691868142,0.9764897579143389
11,2533.5,209.98275518417358,70.81282043457031,47.00761795043945,3.8614699840545654,0.7220437499224279,1.5064115886329084,0.6432906548291546,0.9310915104740904
12,1954.5,176.2670259475708,63.78632736206055,38.95973587036133,178.96356201171875,0.7905027495530212,1.6372371613172583,0.6116325624520832,0.9743270189431705
13,1969.0,184.36753106117249,59.08235168457031,43.44145584106445,1.6379715204238892,0.7279251092829255,1.3600453884586619,0.7181915448124491,0.9409796893667861
14,1598.5,158.3259004354477,56.647865295410156,37.422542572021484,178.68650817871094,0.8013432283959259,1.5137364113191565,0.6342429696479774,0.9676150121065376
15,1547.0,151.88224971294403,53.1717529296875,37.69556427001953,179.1929473876953,0.8427254991093112,1.4105572886191458,0.6966882342640989,0.9741813602015114
16,2308.5,194.1248903274536,70.55642700195312,42.30337905883789,178.60171508789062,0.769798917683678,1.6678674037792425,0.5904278542739703,0.9628779979144942
17,2275.5,191.4385985136032,69.72921752929688,42.43531799316406,179.43011474609375,0.7802390661459655,1.6431882881266404,0.595878032246112,0.966447228710979
18,1883.0,200.2253954410553,66.57191467285156,37.67214584350586,1.7562493085861206,0.5902307937312607,1.7671389081311812,0.5409764291816552,0.9005260640841702
19,1604.0,161.5979789495468,79.19890594482422,38.650474548339844,178.95545959472656,0.7718668301667462,2.049105654466694,0.32559379371833774,0.9780487804878049
20,2087.0,184.71067690849304,69.62956237792969,38.2114372253418,176.96578979492188,0.7686848353017094,1.8222178340821844,0.5480816177671367,0.974095682613769
21,1858.0,168.71067678928375,57.80635070800781,41.56087112426758,179.74757385253906,0.820295706551794,1.3908840008469991,0.7079534809478865,0.9712493465760585
22,1815.5,164.61017155647278,57.86461639404297,40.1478157043457,178.21961975097656,0.8419625644070411,1.4412892800984825,0.6903673044202088,0.9797625472207232
23,467.5,95.35533845424652,59.668434143066406,41.4526252746582,172.5947723388672,0.6461025502846962,1.439436796770127,0.16718697961370674,0.9749739311783108
24,1505.5,146.81118202209473,52.79949951171875,37.23429870605469,1.606009840965271,0.8777530621594752,1.418033945759075,0.6875927150682637,0.9888341543513958
25,1490.0,147.39696848392487,51.61417007446289,37.47174072265625,2.4339191913604736,0.8618248838098521,1.3774158627025248,0.7121287017230618,0.9838230439088809
26,1191.0,172.91168761253357,47.43777847290039,40.29972457885742,5.436051368713379,0.5005793458925848,1.1771241359249345,0.6738654572805084,0.8525411596277738
27,2490.0,199.68123996257782,75.09330749511719,42.76434326171875,179.4815673828125,0.7847560660370282,1.7559794391216168,0.562220916926903,0.973987874046548
28,1671.0,161.39696836471558,53.77724075317383,39.87763214111328,177.0434112548828,0.8061123379954409,1.3485565181722574,0.7356809965539092,0.9667341625687011
29,1596.5,152.95331752300262,50.6915283203125,40.138187408447266,176.50421142578125,0.8575530275979845,1.2629251989999986,0.7910578985072089,0.9776484996938151
30,2472.5,212.12489080429077,75.46170806884766,43.13416290283203,2.2491891384124756,0.690498756432434,1.7494649945761,0.5528319781354373,0.9319638145495666
31,2185.5,201.2964632511139,66.97679138183594,42.29635238647461,176.70101928710938,0.6777794325956767,1.5835122322097344,0.6203149570932682,0.9377815919330615
34,1770.5,171.15432810783386,68.51942443847656,37.88595199584961,178.2382354736328,0.759503926151221,1.8085707453248856,0.4801518839635855,0.9593606068816039
35,1745.0,166.71067678928375,59.01968002319336,38.73337936401367,1.5934252738952637,0.7890026577338641,1.5237420796293142,0.6378401433166306,0.9662236987818383
36,2433.0,194.02438521385193,70.67678833007812,44.465057373046875,178.43714904785156,0.8121557827592865,1.5894905461860453,0.6201526660976618,0.9808506349526305
37,3650.5,359.4629844427109,147.17210388183594,42.17778015136719,178.83522033691406,0.3550208548206935,3.4893278724879826,0.2145909857503229,0.7318564554931837
38,2402.0,202.36753070354462,70.16486358642578,45.44377517700195,174.818115234375,0.7370572156513266,1.543992841992903,0.6212175998273481,0.9451111548298249
40,3004.5,221.09545266628265,83.15744018554688,46.51005935668945,179.07052612304688,0.7723647620590057,1.7879452603533712,0.5531973650057408,0.9770731707317073
41,2498.0,200.08326029777527,88.9659652709961,46.18486022949219,178.0169219970703,0.7841168509488403,1.9263014942326326,0.4018414778415326,0.979415800823368
42,2449.0,225.53910386562347,82.07689666748047,43.621315002441406,175.5869598388672,0.6049994057979683,1.8815777713919621,0.4628678846567559,0.8947753014249178
43,1667.5,160.1248904466629,58.490421295166016,36.45098876953125,1.188035249710083,0.8172558074410181,1.6046319529213195,0.6205924134931754,0.9780058651026393
